cluster,kind,n_tasks,orientation,task_1,task_2,pass1_variant_task_1,pass1_variant_task_2,score_task_1,score_task_2,score_total,success_diff_task_1,success_diff_task_2,success_diff_total
pair_254,pair,2,0.0,mbpp/160,mbpp/604,self_test_repair,single_shot,0,0,0,0,0,0
pair_255,pair,2,0.0,mbpp/286,humaneval/40,self_test_repair,single_shot,1,-1,0,1,0,1
pair_256,pair,2,1.0,mbpp/164,mbpp/251,single_shot,self_test_repair,-1,1,0,-1,1,0
pair_257,pair,2,1.0,mbpp/738,mbpp/801,single_shot,self_test_repair,0,1,1,0,1,1
pair_258,pair,2,1.0,humaneval/140,mbpp/637,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_259,pair,2,1.0,mbpp/752,humaneval/48,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_260,pair,2,0.0,humaneval/120,humaneval/129,self_test_repair,single_shot,0,0,0,0,0,0
pair_261,pair,2,0.0,mbpp/399,humaneval/57,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_262,pair,2,0.0,mbpp/638,mbpp/559,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_263,pair,2,0.0,humaneval/46,humaneval/55,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_264,pair,2,1.0,humaneval/65,humaneval/63,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_265,pair,2,1.0,mbpp/598,mbpp/793,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_266,pair,2,0.0,mbpp/104,mbpp/410,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_267,pair,2,1.0,mbpp/64,mbpp/802,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_268,pair,2,0.0,mbpp/61,mbpp/119,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_269,pair,2,0.0,mbpp/393,mbpp/75,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_270,pair,2,1.0,mbpp/773,humaneval/92,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_271,pair,2,0.0,mbpp/127,mbpp/58,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_272,pair,2,0.0,humaneval/64,mbpp/90,self_test_repair,single_shot,1,-1,0,0,0,0
pair_273,pair,2,1.0,humaneval/76,humaneval/109,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_274,pair,2,0.0,mbpp/439,mbpp/626,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_275,pair,2,0.0,humaneval/58,mbpp/473,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_276,pair,2,0.0,mbpp/296,mbpp/117,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_277,pair,2,1.0,mbpp/108,humaneval/2,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_278,pair,2,0.0,mbpp/99,mbpp/116,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_279,pair,2,1.0,mbpp/246,mbpp/465,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_280,pair,2,1.0,mbpp/435,mbpp/617,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_281,pair,2,1.0,mbpp/460,humaneval/102,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_282,pair,2,1.0,mbpp/307,humaneval/54,single_shot,self_test_repair,0,0,0,0,0,0
pair_283,pair,2,1.0,mbpp/591,humaneval/61,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_284,pair,2,0.0,mbpp/238,mbpp/769,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_285,pair,2,1.0,mbpp/304,mbpp/418,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_286,pair,2,0.0,humaneval/87,humaneval/33,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_287,pair,2,0.0,mbpp/594,mbpp/622,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_288,pair,2,0.0,mbpp/589,humaneval/23,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_289,pair,2,0.0,humaneval/156,mbpp/16,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_290,pair,2,0.0,mbpp/720,mbpp/100,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_291,pair,2,0.0,mbpp/98,mbpp/453,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_292,pair,2,0.0,humaneval/149,mbpp/478,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_293,pair,2,0.0,humaneval/88,mbpp/167,self_test_repair,single_shot,-1,1,0,0,1,1
pair_294,pair,2,0.0,mbpp/618,mbpp/798,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_295,pair,2,1.0,mbpp/166,humaneval/155,single_shot,self_test_repair,-1,-1,-2,-1,0,-1
unpaired_arrival_591,single,1,,mbpp/256,,self_test_repair,,-1,,-1,0,,0
